epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.5695,4.88023,5.06268,0.71014,18.3506,2.51469,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001875,0.0001875,0.0001875
2,177.543,3.49035,4.71563,0.72176,7.17898,1.44732,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000383664,0.000383664,0.000383664
3,262.475,3.18389,3.59289,0.5934,4.70181,1.35683,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000575868,0.000575868,0.000575868
4,345.741,2.99943,2.58743,0.52834,4.13574,1.27938,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000764111,0.000764111,0.000764111
5,429.362,2.83107,1.90972,0.43872,3.51384,1.20533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000948395,0.000948395,0.000948395
6,512.245,2.83921,1.71359,0.37607,3.05816,1.2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112872,0.00112872,0.00112872
7,595.131,2.77354,1.68575,0.32613,3.10453,1.15954,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117575,0.00117575,0.00117575
8,678.131,2.66768,1.37655,0.30689,2.72953,1.13091,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00116337,0.00116337,0.00116337
9,760.678,2.635,1.18486,0.29094,2.59958,1.16664,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001151,0.001151,0.001151
10,843.632,2.66203,1.05512,0.26915,2.34986,1.13185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113863,0.00113863,0.00113863
11,926.108,2.55316,0.90869,0.23763,2.33704,1.11332,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112625,0.00112625,0.00112625
12,1009.23,2.61076,0.94008,0.25153,2.11785,1.15322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00111388,0.00111388,0.00111388
13,1092.1,2.43136,0.82782,0.22261,1.91383,1.11653,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011015,0.0011015,0.0011015
14,1175.81,2.56415,0.87232,0.20258,2.04976,1.0653,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108913,0.00108913,0.00108913
